Nom;SIRET;SIREN;Adresse;Code Postal;Ville;Téléphone;Code NAF;Catégorie;Zone Recherche;Secteur S&Y
ALCO;75375506500038;753755065;1448 RTE DES TROIS VAVRES 01320 SAINT-NIZIER-LE-DESERT;01320;SAINT-NIZIER-LE-DESERT;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
BP CLEAN;89173375000014;891733750;33 RUE DE LA REPUBLIQUE 69002 LYON;69002;LYON;+33 4 78 70 65 16;45.20A;garage;Lyon;BTP / Mécanique
SA AVIS;42984715500018;429847155;12 RUE DU BELIER 69002 LYON;69002;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
DENT WIZARD (DENTWIZARD DENTMASTER);40204949800072;402049498;ZA CROIX BONNET 1 RUE GEORGES MELIES 78390 BOIS-D'ARCY;78390;BOIS-D'ARCY;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
DSM GARAGE;93462650800014;934626508;252 RUE DE ROSNY 93100 MONTREUIL;93100;MONTREUIL;+33 7 66 64 97 55;45.20A;garage;Lyon;BTP / Mécanique
PRO PDR FRANCE;90438241300048;904382413;3 RUE D'ARSONVAL 33600 PESSAC;33600;PESSAC;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
GARAGE  AGL (GARAGE AGL PUSIGNAN);89742876900029;897428769;1 ROUTE NATIONALE 69330 PUSIGNAN;69330;PUSIGNAN;+33 4 78 04 22 21;45.20A;garage;Lyon;BTP / Mécanique
GLASS SERVICES (GLASS SERV);94315183700011;943151837;254 RUE VENDOME 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
JFB AUTOS (CARROSSERIE DE LA PART DIEU - CARROSSERIE MICHEL PIROUD);39444329500024;394443295;34 RUE DE LA CITE 69003 LYON;69003;LYON;+33 6 88 45 25 32;45.20A;garage;Lyon;BTP / Mécanique
EG CLEAN (EG CLEAN);82432129300014;824321293;33 RUE PERNON 69004 LYON;69004;LYON;+33 4 78 70 65 16;45.20A;garage;Lyon;BTP / Mécanique
CARROSSERIE LACASSAGNE;92856130700010;928561307;62 AVENUE LACASSAGNE 69003 LYON;69003;LYON;+33 4 78 54 26 98;45.20A;garage;Lyon;BTP / Mécanique
GARAGE CALDERONI;42878743600024;428787436;530 RUE DE LA DOMBES 01700 MIRIBEL;01700;MIRIBEL;+33 4 78 54 01 57;45.20A;garage;Lyon;BTP / Mécanique
MARCEL AUTO;10037518700018;100375187;8 RUE MARCEL PEHU 69003 LYON;69003;LYON;+33 4 81 06 08 40;45.20A;garage;Lyon;BTP / Mécanique
OCCITANE AUTO SERVICES;83790580100028;837905801;254 RUE VENDOME 69003 LYON;69003;LYON;+33 4 78 69 14 10;45.20A;garage;Lyon;BTP / Mécanique
BRICE MISSIE-MICK (LYNKCAR);82277524300022;822775243;21 RUE GUSTAVE MAREAU 49000 ANGERS;49000;ANGERS;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
HEDY LADHARI (LA BATTERIE LYONNAISE);82459508600029;824595086;TER 350 ROUTE DE GENAS 69500 BRON;69500;BRON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
LYON AUTO CLEAN SERVICES (LACS);53196815400025;531968154;19 RUE DU LAC 69003 LYON;69003;LYON;+33 6 52 45 53 41;45.20A;garage;Lyon;BTP / Mécanique
GARAGE D ATTOMA;37946937200013;379469372;20 B RUE DU DOCTEUR REBATEL 69003 LYON 3EME;69003;LYON 3EME;+33 4 81 06 08 40;45.20A;garage;Lyon;BTP / Mécanique
PHILIPPE RAMOS;49048749300010;490487493;20 RUE DE L'EGLISE 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
MOUSSA BAMBA (GARAGEBMCARS);80351719200024;803517192;22 RUE FIOL 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
ABH;80750941900014;807509419;117 COURS RICHARD VITTON 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
SARL LAKEHAL ET MONACO;81281534800014;812815348;147 AVENUE LACASSAGNE 69003 LYON;69003;LYON;+33 4 78 54 96 79;45.20A;garage;Lyon;BTP / Mécanique
MECA SERVICE AUTO (MSA);81778112300010;817781123;11 RUE DU DAUPHINE 69003 LYON;69003;LYON;+33 4 78 69 14 10;45.20A;garage;Lyon;BTP / Mécanique
GARAGE LYON PNEUS SERVICES (GARAGE LYON PNEUS SERVICES);89516594200023;895165942;103 RUE PROFESSEUR BEAUVISAGE 69008 LYON;69008;LYON;+33 4 72 90 18 18;45.20A;garage;Lyon;BTP / Mécanique
GLASS CARROSSERIE (GLASS CARROSSERIE);93962021700025;939620217;46 RUE DU DAUPHINE 69800 SAINT-PRIEST;69800;SAINT-PRIEST;+33 6 52 68 67 00;45.20A;garage;Lyon;BTP / Mécanique
AURELIEN RUBIN;94884101000010;948841010;254 RUE VENDOME 69003 LYON;69003;LYON;+33 6 37 34 54 68;45.20A;garage;Lyon;BTP / Mécanique
PAREBRISE MINUTE;98486662400013;984866624;254 RUE VENDOME 69003 LYON;69003;LYON;+33 4 78 95 39 30;45.20A;garage;Lyon;BTP / Mécanique
AUTO GLASS;98880832500019;988808325;254 RUE VENDOME 69003 LYON;69003;LYON;+33 6 37 34 54 68;45.20A;garage;Lyon;BTP / Mécanique
ANTHONY BARONE;99229037900013;992290379;12 RUE DE LA PART-DIEU 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
RS PARE-BRISE;99415134800012;994151348;254 RUE VENDOME 69003 LYON;69003;LYON;+33 4 78 95 39 30;45.20A;garage;Lyon;BTP / Mécanique
MY DRIVE (MY DRIVE);10168771300012;101687713;254 RUE VENDOME 69003 LYON;69003;LYON;+33 7 82 67 80 86;45.20A;garage;Lyon;BTP / Mécanique
BILEL MECHTAOUI;95141940700022;951419407;18 RUE VICTOR FAUGIER 38200 VIENNE;38200;VIENNE;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
EUROFLEET TYRES & SERVICES;48050076800050;480500768;1ER ETAGE 100 ROUTE DE LYON 69800 SAINT-PRIEST;69800;SAINT-PRIEST;+33 6 42 43 40 79;45.20A;garage;Lyon;BTP / Mécanique
DEBOSS CARS DSP (DEBOSS CARS DSP);10075309400018;100753094;12 RUE DE LA PART-DIEU 69003 LYON;69003;LYON;+33 7 68 16 55 25;45.20A;garage;Lyon;BTP / Mécanique
DAVID GONZALEZ (DG AUTO PRESTATION);38432805000065;384328050;ST CHRISTOPHE 20 TRA DU PAQUIER 69430 DEUX-GROSNES;69430;DEUX-GROSNES;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
REVACTION;39792115600030;397921156;57 AVENUE JULES GUESDE 69200 VENISSIEUX;69200;VENISSIEUX;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
MARIO ITRI (MARIO PNEUS);40317426100053;403174261;20 RUE JULES GUESDE 38550 SAINT-MAURICE-L'EXIL;38550;SAINT-MAURICE-L'EXIL;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
AUTOBELLA;42084400300277;420844003;183 RUE DE FONTENAY 94300 VINCENNES;94300;VINCENNES;+33 6 21 28 47 15;45.20A;garage;Lyon;BTP / Mécanique
COLLADO SARL (BLV AUTOMOBILE);34165422600099;341654226;80 CHEMIN DE LA BOUVIERE 69780 SAINT-PIERRE-DE-CHANDIEU;69780;SAINT-PIERRE-DE-CHANDIEU;+33 4 78 53 40 75;45.20A;garage;Lyon;BTP / Mécanique
JULIEN BRETON;80471734600014;804717346;5 RUE DU LAC 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
FABRICE BRONDEAU (GARAGE FABLEX CONCEPT);80895068700034;808950687;4 A ALLEE DE LA FONTAINE 36230 TRANZAULT;36230;TRANZAULT;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
DENIS OLLIER (AUTO-MOBILE PRO PAINT);81103748000019;811037480;29 RUE JEANNE D'ARC 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
BONOBOSSE;81531126100045;815311261;LE BOURG 15 ROUTE DU VIEUX MOULIN 71570 LA CHAPELLE-DE-GUINCHAY;71570;LA CHAPELLE-DE-GUINCHAY;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
GARAGE AUTO 3EME;52091279100016;520912791;31 RUE COIGNET 69003 LYON;69003;LYON;+33 4 81 06 08 40;45.20A;garage;Lyon;BTP / Mécanique
ABDELAZIZ ABDELLI;80372816100024;803728161;2 B IMPASSE DES ROSES 38150 CHANAS;38150;CHANAS;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
ERIC LAGRANGE;90828425000010;908284250;12 RUE DE NAZARETH 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
ASPHALTE;89864186500016;898641865;IMMEUBLE LE BRITANNIA - BATIMENT B 20 BOULEVARD EUGENE DERUELLE 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
SEYDINA SECK (SEN REPAR AUTO);88821741100030;888217411;2925 ROUTE DU BUGEY 38300 SAINT-SAVIN;38300;SAINT-SAVIN;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
S.J.A. (S.J.A.);92908848200013;929088482;254 RUE VENDOME 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
SEN CLEAN CAR;94836075500011;948360755;156 RUE MONCEY 69003 LYON;69003;LYON;+33 4 78 70 65 16;45.20A;garage;Lyon;BTP / Mécanique
PBVU AUTO;99247721600012;992477216;12 RUE DE LA PART-DIEU 69003 LYON;69003;LYON;+33 6 19 31 83 40;45.20A;garage;Lyon;BTP / Mécanique
GARAGE CENTURION;99412411300014;994124113;254 RUE VENDOME 69003 LYON;69003;LYON;+33 9 73 69 29 69;45.20A;garage;Lyon;BTP / Mécanique
GARAGE DE LA BANNIERE;47906401600013;479064016;16 RUE DE LA BANNIERE 69003 LYON;69003;LYON;+33 4 78 54 26 98;45.20A;garage;Lyon;BTP / Mécanique
CHARLEMAGNE;53525412200018;535254122;8 ET 10 8 RUE BONNEFOI 69003 LYON;69003;LYON;+33 4 72 41 04 38;45.20A;garage;Lyon;BTP / Mécanique
FAST AUTO CENTER (FAST AUTO CENTER);98186945600013;981869456;254 RUE VENDOME 69003 LYON;69003;LYON;+33 9 50 83 52 30;45.20A;garage;Lyon;BTP / Mécanique
LA LYONNAISE AUTOMOBILE;95225880400014;952258804;254 RUE VENDOME 69003 LYON;69003;LYON;+33 4 37 25 35 20;45.20A;garage;Lyon;BTP / Mécanique
RHONE ALPES PARE BRISE (RHONE-ALPES PARE-BRISE);94093715400018;940937154;73 COURS ALBERT THOMAS 69003 LYON;69003;LYON;+33 4 72 13 31 20;45.20A;garage;Lyon;BTP / Mécanique
PHILIPPE GRIMARD;48059489400010;480594894;62 AVENUE LACASSAGNE 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
GARAGE JEAN JAURES;95950379800040;959503798;ANGLE 265 RUE CREQUI 14 RUE D'ARMENIE 69003 LYON;69003;LYON;+33 4 72 36 90 05;45.20A;garage;Lyon;BTP / Mécanique
SC FABRICATION;43033358300010;430333583;5 RUE DU MAIL 69004 LYON;69004;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
GARAGE DU MAIL L&G;49316971800019;493169718;26 RUE DU MAIL 69004 LYON;69004;LYON;+33 4 78 74 11 89;45.20A;garage;Lyon;BTP / Mécanique
EMMANUEL SANTOS;75389984800018;753899848;9 RUE RICHAN 69004 LYON;69004;LYON;+33 4 78 52 01 01;45.20A;garage;Lyon;BTP / Mécanique
SCOTCH & CUBA MOTORS (AKIRA MOTORS);90142872200010;901428722;21 RUE DE NUITS 69004 LYON;69004;LYON;+33 7 49 35 55 77;45.20A;garage;Lyon;BTP / Mécanique
TURBO 2000;34392426200052;343924262;ZA LE BOUT DU LAC LA COMBE DES PARQUETS 5377 ROUTE DU BOUT DU LAC 74210 LATHUILE;74210;LATHUILE;+33 4 78 97 37 37;45.20A;garage;Lyon;BTP / Mécanique
GARAGE BLANC;53809634800015;538096348;8 RUE GIGODOT 69004 LYON;69004;LYON;+33 4 78 28 48 16;45.20A;garage;Lyon;BTP / Mécanique
GARAGE CABIAS;75043918400029;750439184;2 AVENUE CABIAS 69004 LYON;69004;LYON;+33 4 78 27 00 75;45.20A;garage;Lyon;BTP / Mécanique
DS AUTO GROUPE;94057529300011;940575293;21 RUE ANDRE BONIN 69004 LYON;69004;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
GARAGE DU LION;40031106400010;400311064;16 MONTEE BONAFOUS 69004 LYON;69004;LYON;+33 4 78 29 86 72;45.20A;garage;Lyon;BTP / Mécanique
RICHARD;34861603800033;348616038;346 CHEMIN DES GRIZMOTTES 69480 LACHASSAGNE;69480;LACHASSAGNE;+33 4 78 68 56 21;45.20A;garage;Lyon;BTP / Mécanique
BRIAN BONIOL;80261111100013;802611111;BATIMENT D1 35 RUE JOLIOT CURIE 69005 LYON;69005;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
CARROSSERIE DU 7IEME (CARROSSERIE DU 7IEME);53091508100034;530915081;14 CHEMIN DES MOULINS 69230 SAINT-GENIS-LAVAL;69230;SAINT-GENIS-LAVAL;+33 4 37 66 52 36;45.20A;garage;Lyon;BTP / Mécanique
AREZKI AMARI (BY MY AUTO);80075881500024;800758815;LOGT 0131 13 AVENUE BARTHELEMY BUYER 69005 LYON;69005;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
Y MECANIQUE;88748907800014;887489078;229 AVENUE BARTHELEMY BUYER 69005 LYON;69005;LYON;+33 5 90 00 09 42;45.20A;garage;Lyon;BTP / Mécanique
ZS SARL (GOMADOM);53188697600012;531886976;BATIMENT 7 ALLEE 2 173 AVENUE BARTHELEMY BUYER 69005 LYON;69005;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
YACINE DGHOUGHI (PUMO);48277591300098;482775913;246 RUE DE VERDUN 42580 L'ETRAT;42580;L'ETRAT;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
PERRIER AUTOMOBILES;33917897200040;339178972;90 AVENUE CAMILLE ROUSSET 69500 BRON;69500;BRON;+33 4 78 26 48 20;45.20A;garage;Lyon;BTP / Mécanique
AUTO TEF (AUTO TEF);53434390000013;534343900;53 RUE DE TRION 69005 LYON;69005;LYON;+33 6 58 22 92 79;45.20A;garage;Lyon;BTP / Mécanique
ABDESLAM MEKHLOUK (GARAGE DES TUILERIES);38751805300021;387518053;143 AVENUE BARTHELEMY BUYER 69005 LYON;69005;LYON;+33 4 72 57 04 62;45.20A;garage;Lyon;BTP / Mécanique
MUSTAPHA HENNI (SOS AUTOPROPRE);84760532600028;847605326;TOUR 3 28 RUE SOEUR JANIN 69005 LYON;69005;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
GARAGE FULCHIRON;96550265100015;965502651;31 QUAI FULCHIRON 69005 LYON;69005;LYON;+33 4 78 37 11 36;45.20A;garage;Lyon;BTP / Mécanique
AUTOROLL;92987794200011;929877942;35 RUE DE TOURVIELLE 69005 LYON;69005;LYON;+33 4 78 02 78 60;45.20A;garage;Lyon;BTP / Mécanique
ARSHAVIR GRIGORYAN;94863820000022;948638200;140 ROUTE DE VOURLES 69230 SAINT-GENIS-LAVAL;69230;SAINT-GENIS-LAVAL;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
SERVICE AUTOMOBILE ARCADI;92183091500036;921830915;3 AVENUE D'ORCHA 69120 VAULX-EN-VELIN;69120;VAULX-EN-VELIN;+33 4 78 26 06 18;45.20A;garage;Lyon;BTP / Mécanique
DAMIEN HERROU (DH NETTOYAGE);79071033900033;790710339;24 RUE DU COLOMBIER 69007 LYON;69007;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
SOC NOUVELLE DU GARAGE D'INKERMANN (SNGI);38412921900034;384129219;3-5 3 RUE BARABAN 69006 LYON;69006;LYON;+33 4 78 24 50 11;45.20A;garage;Lyon;BTP / Mécanique
ANTONIO DA SILVA E SA;42145078400010;421450784;110 RUE DE SEZE 69006 LYON;69006;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
GARAGE MOLIERE;42983076300018;429830763;6 RUE MOLIERE 69006 LYON;69006;LYON;+33 9 73 69 29 69;45.20A;garage;Lyon;BTP / Mécanique
AUTOMOBILES TETE D OR;48949848500031;489498485;88 RUE RACHAIS 69007 LYON;69007;LYON;+33 6 16 88 22 01;45.20A;garage;Lyon;BTP / Mécanique
RD MOTORS;50442878000010;504428780;3 5 3 RUE BARABAN 69006 LYON;69006;LYON;+33 7 49 35 55 77;45.20A;garage;Lyon;BTP / Mécanique
AUTO SERVICES 360 (AS 360);89967891600011;899678916;38 RUE GERMAIN 69006 LYON;69006;LYON;+33 6 26 90 53 53;45.20A;garage;Lyon;BTP / Mécanique
ARLES AUTO SERVICES (DISCOUNT PNEUS);91940437600023;919404376;BUREAU 3 30 AVENUE MARECHAL FOCH 69006 LYON;69006;LYON;+33 6 13 10 00 06;45.20A;garage;Lyon;BTP / Mécanique
AUTO DOCI (GARAGE IL PRIMO);94436030400017;944360304;161 BOULEVARD STALINGRAD 69006 LYON;69006;LYON;+33 4 28 29 66 88;45.20A;garage;Lyon;BTP / Mécanique
SOS CARROSSERIE;98842736500016;988427365;83 COURS VITTON 69006 LYON;69006;LYON;+33 4 78 90 13 68;45.20A;garage;Lyon;BTP / Mécanique
POINT S DEVELOPMENT (POINT S EUROPE) (PSD);49102862700025;491028627;9 RUE CURIE 69006 LYON;69006;LYON;+33 4 78 84 72 13;45.20A;garage;Lyon;BTP / Mécanique
ABDOULAYE BAH (GARAGE AB AUTO);80011590900023;800115909;49 RUE SAINTE GENEVIEVE 69006 LYON;69006;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
ALR;93176336100017;931763361;131 RUE DE CREQUI 69006 LYON;69006;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
ASH-CAR;94256779300024;942567793;24 BOULEVARD ALEXANDRE DE FRAISSINETTE 42100 SAINT-ETIENNE;42100;SAINT-ETIENNE;+33 6 19 91 22 39;45.20A;garage;Lyon;BTP / Mécanique
GARAGE-METROPOLE;95751107400016;957511074;115 RUE BUGEAUD 69006 LYON;69006;LYON;+33 9 73 69 29 69;45.20A;garage;Lyon;BTP / Mécanique
CARROSSERIE FERNANDES (ATELIER DES BROTTEAUX);98491135400012;984911354;15 RUE CURIE 69006 LYON;69006;LYON;+33 4 22 91 21 72;45.20A;garage;Lyon;BTP / Mécanique
MS PNEUS SERVICES;98234841900010;982348419;BP 50367 3 RUE DE GENEVE 69006 LYON;69006;LYON;+33 4 72 90 18 18;45.20A;garage;Lyon;BTP / Mécanique
SOS CARROSSERIE 38;98852535800012;988525358;83 COURS VITTON 69006 LYON;69006;LYON;+33 4 78 72 50 20;45.20A;garage;Lyon;BTP / Mécanique
MAXIME DORANGE (PRESTIGE MOBILITE);99146574100015;991465741;30 AVENUE MARECHAL FOCH 69006 LYON;69006;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
AUTO DEPAN' LYON - 6;41521536700012;415215367;13 RUE CURIE 69006 LYON;69006;LYON;+33 4 72 38 58 72;45.20A;garage;Lyon;BTP / Mécanique
OVIDIU ENE;51753822900017;517538229;13 RUE CUVIER 69006 LYON;69006;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
SHIPPER (SHIPPER);88155837300018;881558373;29 COURS FRANKLIN ROOSEVELT 69006 LYON;69006;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
GARAGE DEPANNAGE CHAPUY;49837976700011;498379767;R D 12 69360 SOLAIZE;69360;SOLAIZE;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
BPC;34910163400021;349101634;43 RUE DU BEGUIN 69007 LYON;69007;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
S.A.R.L. ROUSSEAU;78987574700014;789875747;42 RUE ANDRE BOLLIER 69007 LYON;69007;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
KHAMMAR QIBAA (AUTO TECK);47964513700031;479645137;58 RUE GEORGES GOUY 69007 LYON;69007;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
AUTO LYON CENTRE SAS;52423367300010;524233673;70 RUE DE MARSEILLE 69007 LYON;69007;LYON;+33 4 78 74 19 67;45.20A;garage;Lyon;BTP / Mécanique
BL7;41759685500060;417596855;10 RUE JEAN GRAS 06150 CANNES;06150;CANNES;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
BACHIR HAMIED;79354971800013;793549718;29 RUE ANDRE BOLLIER 69007 LYON;69007;LYON;+33 6 11 78 41 39;45.20A;garage;Lyon;BTP / Mécanique
MARCELLO RICCI;35186931800045;351869318;10 AVENUE EDOUARD MILLAUD 69290 CRAPONNE;69290;CRAPONNE;+33 4 78 44 85 11;45.20A;garage;Lyon;BTP / Mécanique
GARAGE SAINT MICHEL;44265121200015;442651212;50 RUE SAINT MICHEL 69007 LYON;69007;LYON;+33 4 78 72 30 86;45.20A;garage;Lyon;BTP / Mécanique
STOYCHO DIMITROV;80359843200034;803598432;11 RUE DU CRET DE LA PERDRIX 42800 RIVE-DE-GIER;42800;RIVE-DE-GIER;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
WILFRIED FAURITTE (FAURITTE AUTO);88029031700036;880290317;BAT JARDIN DE BERTHELOT 63 RUE DU REPOS 69007 LYON;69007;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
QUALI GLASS (QUALI GLASS);48049251100039;480492511;PARC GREENOPOLIS 20 RUE BERJON 69009 LYON;69009;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
CARROSSERIE HOT LINE;39911027900011;399110279;CARROSSERIE H L C 120 RUE DE GERLAND 69007 LYON;69007;LYON;+33 4 78 58 38 48;45.20A;garage;Lyon;BTP / Mécanique
VULCAIN POLE SERVICES AUTOMOBILES;33809816300045;338098163;76 RUE MARIETTON 69009 LYON;69009;LYON;+33 4 72 20 51 51;45.20A;garage;Lyon;BTP / Mécanique
CARROSSERIE SAINT LOUIS;42093697300015;420936973;6 RUE CLAIR TISSEUR 69007 LYON;69007;LYON;+33 4 78 58 38 48;45.20A;garage;Lyon;BTP / Mécanique
MOUNIR SASSI (MS CARS);81202364600019;812023646;5 RUE CDT AYASSE 69007 LYON 7EME;69007;LYON 7EME;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
OTO NET;81236486700026;812364867;6 B BOULEVARD DE L'ARTILLERIE 69007 LYON;69007;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
BORIS DIMOV;81398542100037;813985421;85 RUE JULES GUESDE 69230 SAINT-GENIS-LAVAL;69230;SAINT-GENIS-LAVAL;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
KAMEL MEBARKI;75181041700012;751810417;5 RUE MAURICE BOUCHOR 69007 LYON;69007;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
PHIL & CATH' (VITE TEINT);53229817100028;532298171;70 COURS GAMBETTA 69007 LYON;69007;LYON;+33 6 24 21 59 51;45.20A;garage;Lyon;BTP / Mécanique
AA MOTO;52260745600012;522607456;124 RUE SEBASTIEN GRYPHE 69007 LYON;69007;LYON;+33 9 73 69 29 69;45.20A;garage;Lyon;BTP / Mécanique
CARROSSERIE CORZANI;51408195900017;514081959;90 RUE DU REPOS 69007 LYON;69007;LYON;+33 4 78 58 38 48;45.20A;garage;Lyon;BTP / Mécanique
LOUTFI KHEDHRI;51439284400049;514392844;46 ROUTE NATIONALE 7 69360 COMMUNAY;69360;COMMUNAY;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
CHEMS EDDINE CHALABI (CHALA AUTO);89384954700011;893849547;19 RUE LIEUTENANT COLONEL GIRARD 69007 LYON;69007;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
A.L.R.AUTOMOBILES;89527376100018;895273761;85 RUE ANDRE BOLLIER 69007 LYON;69007;LYON;+33 6 07 32 72 52;45.20A;garage;Lyon;BTP / Mécanique
HUGO LAVILLE;91328455000021;913284550;318 RUE DU HAUT BEAUJOLAIS 69860 DEUX-GROSNES;69860;DEUX-GROSNES;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
FIDAN HURUGLICA (SUPER CLEAN);94215947600012;942159476;16 GRANDE RUE DE LA GUILLOTIERE 69007 LYON;69007;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
TUDOR SIRCU (GARAGE AUTO D'OR);79430361000024;794303610;45 ROUTE DU MONT THOU 69270 SAINT-ROMAIN-AU-MONT-D'OR;69270;SAINT-ROMAIN-AU-MONT-D'OR;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
LOIC TECHER (LT CLEAN S SERVICES);88197510600017;881975106;30 RUE SIMONE DE BEAUVOIR 69007 LYON;69007;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
E.L.G.;98794678700015;987946787;44 RUE ANDRE BOLLIER 69007 LYON;69007;LYON;+33 4 72 71 63 11;45.20A;garage;Lyon;BTP / Mécanique
PROPURE (PROPURE);99199712300013;991997123;22 RUE PRE GAUDRY 69007 LYON;69007;LYON;+33 6 18 92 72 83;45.20A;garage;Lyon;BTP / Mécanique
TOMAS TOMOYAN;99369735800014;993697358;2 RUE GALLAND 69007 LYON;69007;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
GARAGE RICCI;38531848000030;385318480;45 RUE DE GERLAND 69007 LYON;69007;LYON;+33 9 73 69 29 69;45.20A;garage;Lyon;BTP / Mécanique
DANIEL THUAUD;30866118000015;308661180;27 RUE ANDRE BOLLIER 69007 LYON;69007;LYON;+33 1 23 45 67 89;45.20A;garage;Lyon;BTP / Mécanique
JLB GARAGE;48986057700019;489860577;15 RUE MAZAGRAN 69007 LYON;69007;LYON;+33 9 73 69 29 69;45.20A;garage;Lyon;BTP / Mécanique
SARL IL TOP SERVICES;43409105400016;434091054;5 RUE CAPITAINE ROBERT CLUZAN 69007 LYON;69007;LYON;+33 4 78 87 15 56;45.20A;garage;Lyon;BTP / Mécanique
BM AUTO PNEU;81127683100039;811276831;3 RUE JACQUES MONOD 69320 FEYZIN;69320;FEYZIN;+33 9 72 84 05 04;45.20A;garage;Lyon;BTP / Mécanique
LAV'AUTO RHONE ALPES (LARA);53804521200015;538045212;63 RUE ANDRE BOLLIER 69007 LYON;69007;LYON;+33 9 61 49 22 12;45.20A;garage;Lyon;BTP / Mécanique
GARAGE ARARAT;49848538200010;498485382;23 ROUTE DE VIENNE 69007 LYON;69007;LYON;+33 9 73 69 29 69;45.20A;garage;Lyon;BTP / Mécanique
